0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,0
3,0,0
3,0,0
3,0,0
4,1,0
4,1,0
5,1,0
5,1,0
5,1,0
5,1,0
6,2,0
6,2,0
6,2,0
6,2,0
7,2,0
7,2,0
7,2,0
8,3,1
8,3,1
8,3,1
8,3,1
8,3,1
9,3,1
9,3,1
10,3,1
10,3,1
10,3,1
10,3,1
11,4,1
11,4,1
12,4,1
12,4,1
12,4,1
13,5,1
13,5,1
14,5,1
14,5,1
15,6,2
15,6,2
16,6,2
16,6,2
16,6,2
17,6,2
17,6,2
18,6,2
18,6,2
18,6,2
18,6,2
18,6,2
19,7,3
19,7,3
19,7,3
20,7,3
20,7,3
20,7,3
21,7,3
21,7,3
21,7,3
22,8,3
22,8,3
23,8,3
23,8,3
23,8,3
23,8,3
24,9,2
24,9,2
25,9,2
25,9,2
25,9,2
26,9,2
26,9,2
26,9,2
26,9,2
27,9,2
27,9,2
27,9,2
28,9,2
28,9,2
28,9,2
28,9,2
28,9,2
28,9,2
28,9,2
28,9,2
29,10,2
29,10,2
29,10,2
29,10,2
29,10,2
30,10,2
30,10,2
31,10,2
31,10,2
31,10,2
31,10,2
31,10,2
32,10,2
32,10,2
32,10,2
32,10,2
33,10,2
33,10,2
33,10,2
34,10,2
34,10,2
34,10,2
35,11,2
35,11,2
35,11,2
35,11,2
35,11,2
36,11,2
36,11,2
36,11,2
36,11,2
36,11,2
37,11,2
37,11,2
38,11,2
38,11,2
38,11,2
38,11,2
39,11,2
39,11,2
39,11,2
39,11,2
40,12,2
40,12,2
40,12,2
40,12,2
41,12,2
41,12,2
41,12,2
42,12,2
42,12,2
